slug,nome,final_url,provider,confianca,sinal,cache_used
,JOÃO HONOR COIROLLO DE SOUZA,https://www.jgcargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Alexandre Buaiz Neto,https://www.buaizleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,Pedro Miranda Jinkings,https://www.milhaoleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,CAROLINE FERREIRA BARBOZA,https://www.bzleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Luciana Londina da Silva,http://ww17.londinaleiloes.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
,Antônio Romero Ferreira da Silva,https://www.ccjleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JOÃO GUILHERME CARGNELUTTI,https://www.jgcargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,WERNO KLÖCKNER JÚNIOR,https://www.kleiloes.com.br/#,suporte_leiloes,medium,link:suporteleiloes.com.br,static
rudival-almeida-gomes-junior,Rudival Almeida Gomes Junior,https://www.rjleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ARTUR NOGARI DOS SANTOS,https://www.nogarileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,João Simões de Almeida Júnior,https://www.simoesleiloes.com.br/,desconhecido,n/a,no rule matched,static
,JOÃO ANTÔNIO CARGNELUTTI,https://www.cargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ALEXANDRE AUGUSTO DOS SANTOS SABBAG,https://www.sabbagleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Horany Costa do Nascimento,https://www.wermelingerleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,JEFFERSON HORTA BARBOSA RIBEIRO MENDES,https://www.mendesleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,Arthur Ferreira Nunes,https://leiloes.arthurnunes.leilao.br/,leilao_br,high,host=leiloes.arthurnunes.leilao.br,static
,Eustácio Medeiros Neves,https://eustacio.com.br/,wordpress,medium,stack=WordPress,static
,EDUARDO HENRIQUE FIRMINO:,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Fábio Maciel Amarante,https://nortedeminasleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,SPENCER D’AVILA FOGAGNOLI,https://spencerleiloes.com.br/,leilotech,high,leilotech.com.br,static
,JEFÉRSON BENEDETTO,https://www.benedettoleiloes.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
,RAIMUNDO MAGALHAES DE MORAES,https://www.rmmleiloes.com.br/,softgt,high,meta_author=SoftGT,static
,Oscar de Menezes Palmeira,https://www.oscar.leilao.br/,leilao_br,high,host=www.oscar.leilao.br,static
,SERGIO LUIZ CRUVINEL,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Érica Cristina Alves,https://www.alvesleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,SIDNEY BELARMINO FERREIRA JUNIOR,https://www.sfleiloes.com.br/,softgt,medium,footer:SoftGT,static
,JAIME LUIZ NULMAN,https://www.bidgo.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,RAFAEL DANIELEWICZ,https://rdleiloes.com.br/,leilotech,high,leilotech.com.br,static
,PABLINE GOMES LIMA,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Tânia Maria de Abreu,https://leiloestaniaabreu.wixsite.com/leiloes/home,wix,high,wix/parastorage,static
,PLINIO BARROSO DE CASTRO FILHO,https://www.pbcastro.com.br/,softgt,high,meta_author=SoftGT,static
,Paulo Cézar Rocha Teixeira,https://www.leiloesjudiciaisbahia.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,Dênis de Oliveira Fernandes,https://leiloeirodenis.com.br/,bomvalor,high,bomvalor.com.br,static
,VICTOR RENNO POLLATO VIZEU-,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Loemí Gonçalves Santana,https://globoleiloes.com.br/,desconhecido,n/a,no rule matched,static
,PEDRO LERNER KRONBERG,https://www.kronberg.lel.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Hilda Emília de Souza Costa Lima,https://www.hastaleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,JACQUES JOCHIMS FERNANDES,https://www.grandesleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,ITALO AUGUSTO SANTOS,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Katiuscia Martins Araujo,https://araujoleiloes.com.br/,araujo_leiloes,high,spider-específico:araujo_leiloes,static
,PAULO ROBERTO NAKAKOGUE,https://www.vardanaleiloes.com.br/vardana/,proprio_html,low,stack=jquery; bootstrap,static
,Osman Sobral e Silva,https://www.leiloesfreire.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,IVAN LEOCI BARTMANN,https://www.bartmannleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,FERNANDO DA SILVA COSTA,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Alglécio Bueno da Silva,https://www.buenoleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,GUILHERME DA COSTA,https://www.ckleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,PAULO ROBERTO LEAL VARDANA,https://www.vardanaleiloes.com.br/vardana/,proprio_html,low,stack=jquery; bootstrap,static
,Alex Willian Hoppe,https://www.hoppeleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,URIANGELA BORGES VIEIRA,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Franciele Aparecida da Silva,https://www.dasilvaleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,HENRIQUE ARNOLDO JUNIOR,https://www.arnoldoleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Júlio Ramos Luz,https://www.portaldoleiloeiro.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,AHARO ESPIRITO SANTO AQUINO,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Alan Carlos dos Santos,https://www.matogrossoleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,GILMAR THUME,https://www.gtleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,NEWTON JORGE GONÇALVES DE OLIVEIRA,https://newtonleiloes.com.br/,leilotech,high,leilotech.com.br,static
,DAVI BORGES DE AQUINO,https://www.alfaleiloes.com/,alfa_leiloes,high,spider-específico:alfa_leiloes,static
,FABIO ROBERTO SCHAFFEL TORRES,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Raphael Perini de Souza,https://www.pantanalleiloesjudiciais.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,GILMAR SANTOS DOS SANTOS,https://www.santoseborinleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,MARIA CLARICE DE OLIVEIRA,https://mariaclariceleiloes.com.br/,leilotech,high,leilotech.com.br,static
,HUGHEVA CARVALHO SANTOS,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,Valdeir Aparecido Pereira,https://www.valdeirpereiraleiloeiro.com.br/,soleon,high,meta_author=SOLEON,static
,GIBRALTAR PEDRO CIPRIANO VIDAL,https://www.vidalleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Marcos Antonio Tulio,https://tulioleiloes.com.br/,leilotech,high,leilotech.com.br,static
,LUIZ RAFAEL LEMUCHI DE LIMA,http://ww17.leiloeslr.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
,WELLINGTON LUIS DOS SANTOS JUNIOR,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,MARCOS ROBERTO TORRES,https://www.3torresleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Silvio Luiz Silva de Moura Leite,https://www.mlleiloes.com.br/externo/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,LUIZ ODAIR FAVARETO,https://www.favaretoleiloes.com.br/,proprio_html,low,stack=jquery,static
,GERSON ANOR BORIN DA SILVA NETO,https://www.santoseborinleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,RAUL HENRIQUE GALASSI PADOVAN,https://www.casamartillo.com.br/,soleon,high,meta_author=SOLEON,static
,ALEX WILLIAM HOPPE,https://www.hoppeleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,FRANCISCO HILLESHEIM,https://www.alemaoleiloeiro.com.br/,soleon,high,meta_author=SOLEON,static
,LUIZ FERNANDO FAVARETO,https://www.favaretoleiloes.com.br/,proprio_html,low,stack=jquery,static
,CLAUDIO SOUSA DOS SANTOS,https://www.allianceleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,GABRIEL SILVA DA ROSA,https://www.gabrielleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
rogerio-damasio-de-oliveira,ROGERIO DAMASIO DE OLIVEIRA,https://www.damasioleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,GRAZIELLA TASSI SANTOS,https://www.gfleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,VANESSA GOELZER DE ARAÚJO VARGAS E PINTO,https://www.vargasepintoleiloes.com.br/externo/,plataforma_leiloar,high,meta_author=Plataforma Leiloar,static
,LUIZ BARBOSA DE LIMA JUNIOR,https://www.lbleiloes.com.br/,softgt,medium,footer:SoftGT,static
,CARLOS CAMPANHÃ,https://www.projudleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,FLÁVIO BITTENCOURT GARCIA,http://www.flaviogarcia.lel.br/,proprio_html,low,stack=jquery; bootstrap,static
,VALENTINA BORGES DE PAULA,https://www.gfleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,LUIZ CARLOS DALL’AGNOL,https://www.dallagnolleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,LUCAS EDUARDO DALCANALE,https://dalcanaleleiloes.com.br/,softgt,medium,footer:SoftGT,static
,ALBERTO JOSE MARCHI MACEDO,https://www.albertomacedoleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,ADRIANO DE JESUS SILVA,https://www.gfleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,JOSE LUIZ MARCHIOTTO JUNIOR,http://ww17.zemarchiottoleiloes.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
,LEVY DOS SANTOS MORAES FILHO,https://leiloessantosmoraes.com.br/externo/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,Marco Antônio Ferreira de Menezes,https://www.maraurzedoleilao.com.br/,soleon,high,meta_author=SOLEON,static
,ADOLPHO AGOSTINHO MENDES QUARESMA,https://www.gfleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,JOÃO VITOR MARTINS FERREIRA,https://www.jmfleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,FERNANDA VON ZUCCALMAGLIO,https://www.zuccalmaglioleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Jorge Marco Aurélio Biavati,https://www.jorgemarcoleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,FELIPE ROTTA,https://www.feliperottaleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,FERNANDA TERRES DE PAULA,https://www.fernandaleiloes.lel.br/,leilao_pro,high,meta_author=Leilão Pro,static
carla-sobreira-umino,CARLA SOBREIRA UMINO,https://www.lancenoleilao.com.br/,sishp,high,path=/sishp/,static
,LEONARDO NUNES LOBO,https://leilo.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
,JAQUELINE SPERANÇA,https://www.sperancaleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Rogério Menezes Nunes,https://www.rogeriomenezes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,JORGE FERLIN DALE NOGARI DOS SANTOS,https://www.nogarileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,RODRIGO PAES CAMAPUM BRINGEL,https://leilo.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
,FABIO SAMIR MACHADO,https://www.machadoleiloesrs.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JONEY MARCELO LOPES FERREIRA,https://www.jmleiloes.leilao.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,leilao_br,high,host=www.jmleiloes.leilao.br,static
,ISABELLA KATARINA SCHACKER PERACCHI,https://peracchileiloes.com.br/,desconhecido,n/a,no rule matched,static
,PAULO DE OLIVEIRA AZEVEDO,https://www.lkleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,FABIO GOMES PIETOSO,https://www.pietosoleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,HELTON ROGÉRIO VERRI VENTRILHO,https://www.verrileiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,EVA DELMINDA STANGHERLIN,https://www.evaleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,RAFAELA MELO FERREIRA MARZANO,https://www.palaciodosleiloes.com.br/site/,palacio_dos_leiloes,high,host=www.palaciodosleiloes.com.br,static
,JOACIR MONZON POUEY,https://www.monzonleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,DANIELLE JOY KARASIAKI CARVALHO,https://www.lkleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ERNI CARLOS ORO,https://www.oroleiloes.lel.br/,soleon,high,meta_author=SOLEON,static
,LUIZ EGIDIO CRUZ MEDEIROS,https://www.medeirosleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,CASSIA NEGRETE NUNES BALBINO,https://globoleiloes.com.br/,desconhecido,n/a,no rule matched,static
,JULIANA CRISTINA CARREIRA GOLFETO,https://www.alfaleiloes.com/,alfa_leiloes,high,spider-específico:alfa_leiloes,static
,GALVÃO ADENYR LOPES JUNIOR,https://lancejusto.com.br/,leilotech,high,leilotech.com.br,static
,GABRIEL BARON JUNIOR,http://ww17.baronleiloes.com.br/,parked_ww17,medium,host=ww17.* + html<5KB,static
,JEFFERSON ADRIANO DA COSTA,https://www.jacleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,ERICK SOARES HAMMOUD TELES,https://www.teza.com.br/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,BRUNA HELENA VIEIRA,https://www.alfaleiloes.com/,alfa_leiloes,high,spider-específico:alfa_leiloes,static
,BEATRIZ SILVA CARVALHO,https://www.grupocarvalholeiloes.com.br/,desconhecido,n/a,no rule matched,static
,DENILSON KIEL,https://www.kielleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,EDUARDO VIVIAN,https://www.eduardovivian.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,IZABELLA MELO FERREIRA PRAES,https://www.palaciodosleiloes.com.br/site/,palacio_dos_leiloes,high,host=www.palaciodosleiloes.com.br,static
,JAIR VICENTE MARTINS,https://vmleiloes.com.br/,leilotech,high,leilotech.com.br,static
,BRIAN GALVÍO FROTA,https://www.amazonasleiloes.com.br/proximos_leiloes/1/1/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,Borges Guedes Neto,https://www.mgrleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,GUILHERME DE ARAÚJO DOMINGOS,https://www.gdleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
cristiano-gomes-ferreira,CRISTIANO GOMES FERREIRA,https://www.palaciodosleiloes.com.br/site/,palacio_dos_leiloes,high,host=www.palaciodosleiloes.com.br,static
,FELIPE GUIMARÍES CARRIJO,https://leilo.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
,GUILHERME EDUARDO STUTZ TOPOROSKI,https://topoleiloes.com.br/,leilotech,high,leilotech.com.br,static
,DEDIANA FARIAS,https://www.fariasleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,RUBEM RODRIGUES GARCIA,https://www.amtleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
angelica-mieko-inoue-dantas,ANGELICA MIEKO INOUE DANTAS,https://www.lancetotal.com.br/,sishp,high,path=/sishp/,static
,DÉBORA REGINA BARZ,https://www.deborabarzleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,FERNANDO DE OLIVEIRA KUSS,https://ksleiloes.com.br/,leilotech,high,leilotech.com.br,static
,DARCI MULLER,https://www.mullerleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ELTON LUIZ SIMON,https://www.simonleiloes.com.br/,desconhecido,n/a,no rule matched,static
,VICENTE DE PAULO A. COTA FILHO,https://www.vipleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,ROBERTA POSSANI ZAGO,https://www.rz.leilao.br/,leilao_br,high,host=www.rz.leilao.br,static
,HELIANA MARIA OLIVEIRA MELO FERREIRA,https://www.palaciodosleiloes.com.br/site/,palacio_dos_leiloes,high,host=www.palaciodosleiloes.com.br,static
,MICHELLI FELINI GAL LOPES,https://www.michellileiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,EDUARDO ABREU ALVES BARBOSA,https://www.bestleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,SÉRGIO LIPINSKI BRANDÍO JUNIOR,https://www.lipinskileiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,DANIEL LAZOWNIK DUARTE,https://www.dldleiloeiro.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,EDUARDO DOS REIS,https://www.casareisleiloes.com.br/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,JOSÉ LÁZARO RIBEIRO MENEZES,https://mercadoleiloes.com.br/,leilao_br,medium,tech_signals+html=leilao.br,static
,CRISTIANO BRANCHIERI ESCOLA,https://www.cristianoescolaleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,Diego Wolf De Oliveira,https://www.diegoleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,Ulisses Donizete Ramos,https://donizetteleiloes.leilao.br/,leilao_br,high,host=donizetteleiloes.leilao.br,static
,ROBERTO DOS REIS JUNIOR,https://www.casareisleiloes.com.br/,degrau_publicidade,medium,link:degraupublicidade.com.br,static
,MATIAS SCHEID,https://scheidleiloes.com.br/,leilao_pro,high,link:leilao.pro,static
,JOÍO HONOR COIROLLO DE SOUZA,https://www.jhcleiloeirooficial.lel.br/,leilao_pro,high,meta_author=Leilão Pro,static
,MARCELLO SILVA DE OLIVEIRA,https://www.mpleilao.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,CLEVER ELMES MILANI,https://www.milanileiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Regina Aude Leite De Araujo Silva,https://www.reginaaudeleiloes.com.br/,regina_aude,high,spider-específico:regina_aude,static
,CLADEMIR DOS SANTOS FLORES,https://www.clademirleiloeiro.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
angela-eiko-inoque-dos-santos,Angela Eiko Inoque dos Santos,https://www.lancetotal.com.br/,sishp,high,path=/sishp/,static
,JOÍO GUILHERME CARGNELUTTI,https://www.jgcargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,CLAUDIO CESAR KUSS,https://www.claudiokussleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,LUIZ FERNANDO MORAES DA CRUZ,https://www.santamarialeiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
mouzar-baston-filho,Mouzar Baston Filho,https://bastonleiloes.leilao.br/,leilao_br,high,host=bastonleiloes.leilao.br,static
,EVANIO ALVES PEREIRA,https://www.evanioalvesleiloeiro.com.br/,leiloesbr,high,link:leiloesbr.com.br,static
,CAROLINA TREIN SILVEIRA,https://www.leffaleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JOÍO ANTÔNIO CARGNELUTTI,https://www.cargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,LUIS FILIPE GEYER FLORES,https://www.jritta.lel.br/,leilao_pro,high,meta_author=Leilão Pro,static
,APARECIDA MARIA FIXER,https://www.cidafixerleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
,LISIANE ZEIFERT,https://www.bronzattoleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,VALÉRIA PONTES BRAGA KAHN,https://mvleiloes.com.br/,wordpress,medium,stack=WordPress,static
daniel-elias-garcia,Daniel Elias Garcia,https://www.danielgarcialeiloes.com.br/,soleon,high,meta_author=SOLEON,static
,CAMILA LAIS CARGNELUTTI,https://www.cargneluttileiloes.com.br/,soleon,high,meta_author=SOLEON,static
,CARMEN GOMES PIETOSO,https://www.pietosoleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,ANTONIO MAGNO JACOB DA ROCHA,https://rochaleiloes.com.br/,proprio_html,low,stack=vue; jquery; bootstrap,static
marcelo-soares-de-oliveira,MARCELO SOARES DE OLIVEIRA,https://oleiloes.com.br/,leilotech,high,leilotech.com.br,static
,LEONARDO OLIVEIRA SALGUEIRO,http://www.salgueiroleiloes.com.br/,plataforma_leiloar,high,plataformaleiloar.com.br,static
,ROGÉRIO MENEZES NUNES,https://www.rogeriomenezes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,ARGEMIRO LUIZ FINATTO,https://www.finattoleiloes.com.br/,proprio_html,low,stack=jquery; bootstrap,static
,Francisco Jonnathan Santos Freitas - (Cancelado a pedido),https://franciscofreitasleiloes.com.br/,leiloes_judiciais_br,high,leiloesjudiciaisbrasil/cesvibrasil,static
jorge-vitorio-espolador,JORGE VITORIO ESPOLADOR,https://www.jeleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,DÉBORA JANAÍNA MÜLLER CORTES,https://www.deboramullerleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,Preposto: Yasmin Mikejevs Lorga,https://faleiloes.com.br/,soleon,high,meta_author=SOLEON,static
,ANDRÉ ANTONIO FAUTH,https://fauthleiloes.com.br/,wordpress,medium,stack=WordPress,static
,LEONARDO LOPES TIRLONI,https://www.tirlonileiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,ANTÔNIO RICARDO SILVA DE LARA,https://www.leiloeslaraforster.com.br/,leiloesweb,high,link:leiloesweb.com.br,static
,AFONSO MARANGONI,https://www.marangonileiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,CLEBER CARDOSO PEREIRA,https://www.clebercardosoleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,ALEX SANDRO VIEIRA FELIX,https://alleiloes.com.br/,leilotech,high,leilotech.com.br,static
,GILBERTO RUIZ GUILHEN,http://www.ggleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,BRÁULIO FERREIRA NETO,http://braunaleiloes.blogspot.com/,proprio_html,low,stack=bootstrap,static
,JUCENARA DE MELLO VIEIRA BORDIGNON,https://www.juleiloes.com.br/,leilao_pro,high,meta_author=Leilão Pro,static
,JOSIANE NUNES SCHWEC PINOTTI,https://www.npleiloes.com.br/?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=endDate:asc,s4b_digital,high,s4bdigital.net,static
,Sued Peter Bastos Dyna,https://www.suedpeterleiloes.com.br/,suporte_leiloes,medium,link:suporteleiloes.com.br,static
,ANTÔNIO PEDRO PACHECO LOPES,https://www.superleiloes.net/,leilao_pro,high,meta_author=Leilão Pro,static
,ADRIANO MELNISKI,https://amleiloeiro.com.br/,leilotech,high,leilotech.com.br,static
,EDUARDO SCHMITZ,https://www.clicleiloes.com.br/,soleon,high,meta_author=SOLEON,static
